Date,Open,High,Low,Close,Volume,Adj Close
2015-02-25,535.90245,546.222501,535.447406,543.872489,1825900,543.872489
2015-02-24,530.002419,536.792403,528.252381,536.092424,1005000,536.092424
2015-02-23,536.052398,536.441404,529.412422,531.912381,1457800,531.912381
2015-02-20,543.132484,543.75247,535.802444,538.952441,1444300,538.952441
2015-02-19,538.042413,543.11247,538.012424,542.872432,989100,542.872432
2015-02-18,541.402458,545.492471,537.512456,539.702422,1453000,539.702422
2015-02-17,546.83245,550.00246,541.092465,542.842443,1616800,542.842443
2015-02-13,543.352447,549.912491,543.132484,549.012501,1900300,549.012501
2015-02-12,537.252405,544.822482,534.675391,542.932472,1620200,542.932472
2015-02-11,535.302416,538.452412,533.380397,535.972405,1377700,535.972405
2015-02-10,529.302379,537.702431,526.922378,536.942412,1749800,536.942412